"Country, Territory or Service"                ,Code ,Time Zone           ,DST
Telecommunications for Disaster Relief by OCHA ,+888 ,                    ,
Thailand                                       ,+66  ,UTC+07:00           ,
East Timor (Timor-Leste)                       ,+670 ,UTC+09:00           ,
Togo                                           ,+228 ,UTC+00:00           ,
Tokelau                                        ,+690 ,UTC+13:00           ,
Tonga                                          ,+676 ,UTC+13:00           ,
Tunisia                                        ,+216 ,UTC+01:00           ,
Turkey                                         ,+90  ,UTC+03:00           ,
Turkmenistan                                   ,+993 ,UTC+05:00           ,
Tuvalu                                         ,+688 ,UTC+12:00           ,
Uganda                                         ,+256 ,UTC+03:00           ,
Ukraine                                        ,+380 ,UTC+02:00           ,UTC+03:00
United Arab Emirates                           ,+971 ,UTC+04:00           ,
United Kingdom                                 ,+44  ,UTC+00:00           ,UTC+01:00
United States                                  ,+1   ,UTC-10:00 to -05:00 ,UTC-10:00 to -04:00
Universal Personal Telecommunications (UPT)    ,+878 ,                    ,
Uruguay                                        ,+598 ,UTC-03:00           ,
Uzbekistan                                     ,+998 ,UTC+05:00           ,
Vanuatu                                        ,+678 ,UTC+11:00           ,
Vatican City State (Holy See)                  ,+379 ,UTC+01:00           ,UTC+02:00
Venezuela                                      ,+58  ,UTC-04:00           ,
Vietnam                                        ,+84  ,UTC+07:00           ,
Wallis and Futuna                              ,+681 ,UTC+12:00           ,
Yemen                                          ,+967 ,UTC+03:00           ,
Zambia                                         ,+260 ,UTC+02:00           ,
Zimbabwe                                       ,+263 ,UTC+02:00           ,
